Model;Launch;Code name;Fab (nm);Bus interface;Core config1;Clock speed;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);Notes (original research);
Core (MHz);Shader (MHz);Memory (MT/s);Pixel (GP/s);Texture (GT/s);Size (GB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
GeForce 810M;February 2014;GF117;28;PCIe 2.0 ×16;48:8:4;738–888;1476–1776;1800;2.95–3.55;5.9–7.1;1;14.4;DDR3;64;12;4.5;141.7–170.5;15;;
GeForce 820M [127];February 2014;GF117;28;PCIe 2.0 ×16;96:16:4;719–954;1438–1908;2000;2.9–3.8;11.5–15.3;2;16;DDR3;64;12;4.5;276.1–366.3;15[128];115% of 620 (Fermi);
GeForce 825M [129];January 27, 2014;GK208;28;PCIe 3.0 ×8;384:16:8 (2 SMX);850;850;1800;6.8;13.6;2;14.4;DDR3;64;12;4.5;652.8;33;94% of 630 (Kepler);
GeForce 830M [130];March 12, 2014;GM108;28;PCIe 3.0 ×16;256:16:8 (2 SMM);1029;1029;1800;8.2;16.5;2;14.4;DDR3;64;12;4.5;526.8;~25;50% of 750 (Maxwell);
GeForce 840M [131];March 12, 2014;GM108;28;PCIe 3.0 ×16;384:24:8 (3 SMM);1029;1029;2000;8.2–16.5;24.7;2–4;16;DDR3;64;12;4.5;790.3;30;50–80% of 745 (Maxwell);
GeForce 845M [132];;;;PCIe 3.0 ×16;;;;;;;;16;DDR3;64;;;;;;
GeForce GTX 850M [133];March 12, 2014;GM107;28;PCIe 3.0 ×16;640:40:16 (5 SMM);876+Boost;876+Boost;5000;14.0;35.0;2-4;80;GDDR5;128;12;4.5;1121.3;40;85% of 750Ti;
936+Boost;936+Boost;2000;15.0;37.4;32;DDR3;1198.1;80% of 750Ti;
GeForce GTX 860M [134];March 12, 2014;GM107;28;PCIe 3.0 ×16;640:40:16 (5 SMM);1020–1085;1020–1085;5000;16.5;41.2;2;80;GDDR5;128;12;4.5;1389;40–45;equal to 750Ti;
GK104;1152:96:16 (6 SMX);797–915;797–915;12.8;76.5;4;2108;75;similar to 660 OEM.;
GeForce GTX 870M [135];March 12, 2014;GK104;28;PCIe 3.0 ×16;1344:112:24 (7 SMX);941–967;941–967;5000;22.6;105.4;3, 6;120;GDDR5;192;12;4.5;2599;110;105% of 660Ti;
GeForce GTX 880M [136];March 12, 2014;GK104;28;PCIe 3.0 ×16;1536:128:32 (8 SMX);954–993;954–993;5000;30.5;122.1;4, 8;160;GDDR5;256;12;4.5;3104;130;90% of 770;
Model;Launch;Code name;Fab (nm);Bus interface;Core config1;Clock speed;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);Notes;
Core (MHz);Shader (MHz);Memory (MT/s);Pixel (GP/s);Texture (GT/s);Size (GB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
